0,-10,-45,-2
3,-8,-44,-3
6,-12,-43,-4
10,-12,-45,-1
13,-10,-44,-2
16,-11,-41,-3
19,-9,-44,-2
22,-10,-43,-3
25,-164,583,126
28,-394,118,71
31,-719,-907,-37
34,-576,-1080,-44
37,-328,-1102,-719
40,2,-4039,134
43,234,-2946,1295
46,379,-1007,784
48,-938,1439,-593
51,-787,3825,-393
54,-1469,5241,243
58,-221,1750,-489
61,600,3558,-20
64,1470,2045,249
67,957,66,151
70,-5,-374,320
73,-190,-586,-52
76,-493,-1918,-200
79,-354,-1940,-355
83,284,-3063,-379
86,586,-2046,10
88,491,-417,424
91,688,-602,882
94,693,-358,1008
97,261,-978,-173
100,464,242,-645
103,487,471,-744
106,172,638,77
109,-2,1423,372
112,-193,1310,403
115,-324,594,-88
118,-395,312,-557
121,-505,-486,-705
124,-611,-303,-610
127,-537,-250,-233
130,-241,-603,-264
133,-104,-191,-457
136,42,-220,-70
139,212,-384,43
142,297,-39,229
145,122,-584,355
147,146,-148,446
150,141,126,468
153,87,377,686
156,42,521,698
159,-109,40,552
162,-225,-38,140
165,-42,54,-91
168,1,40,-302
170,46,505,-423
173,28,526,-366
176,14,-229,-254
180,-195,-556,-260
183,-10,-459,-1
186,214,-529,-5
189,359,-581,-132
192,177,61,-227
195,84,-37,-311
198,-108,-15,-426
201,-298,-44,-410
204,-123,-156,-252
207,135,-138,380
210,88,55,610
213,-73,186,712
216,-268,223,613
219,-257,267,409
222,-19,411,38
225,105,79,-108
228,133,167,-187
230,-68,110,-210
233,-74,-322,-314
237,25,-550,-548
240,97,-475,-503
243,285,-36,-318
246,241,-85,84
249,37,-162,251
252,-131,-104,253
255,-130,-207,151
258,17,280,150
261,-73,205,205
263,-233,303,165
266,-360,275,-5
269,-328,-223,-75
272,-143,-349,-98
275,161,-197,-73
278,192,-199,-14
281,168,-55,120
284,102,-37,44
287,54,-74,-20
290,178,-95,-118
293,181,-95,-166
296,130,95,-185
299,-37,3,-442
302,-131,-99,-470
306,-304,-123,-263
309,-257,-128,-20
312,-22,-253,318
315,-4,-166,456
318,-22,93,525
321,-49,41,479
324,-7,-63,363
327,-15,-14,239
330,55,114,21
334,146,229,-117
337,35,351,-294
339,-164,-100,-473
343,-86,-312,-393
346,118,-389,-374
349,112,-294,-286
352,51,-190,-146
355,-70,94,106
357,-99,-46,121
360,57,-386,159
364,123,-188,142
367,119,428,118
370,-66,445,124
373,-146,289,76
376,-175,-13,-57
379,-181,-249,-83
382,-86,-438,16
385,21,-215,104
388,11,-74,160
391,-35,-102,217
394,3,-162,139
397,91,11,-10
399,215,167,-233
402,195,259,-280
405,130,287,-302
409,-35,165,-208
412,-113,-318,-8
415,-152,-429,10
418,-114,-440,36
421,-46,-132,37
424,-75,10,44
426,-118,8,106
429,-58,-106,230
432,21,-93,250
435,96,63,247
439,119,152,97
441,56,247,-17
444,-68,212,-174
447,-93,-20,-188
450,-76,-342,-138
453,14,-351,-137
456,20,-291,-66
459,-22,-102,100
462,-50,-70,94
465,-66,-53,-47
468,-28,-29,-90
471,49,-8,-89
474,113,237,-48
477,70,282,-18
480,19,112,13
483,-80,-69,-13
486,-110,-281,-9
489,-66,-391,58
492,-56,-314,107
495,-50,-113,130
499,-72,-19,144
502,-82,-80,92
505,-21,-78,-82
508,43,102,-125
512,117,180,-75
514,104,225,36
518,-14,76,14
521,-41,-61,-5
524,-9,-213,-94
527,17,-249,-102
530,0,-168,-42
533,-79,-148,13
536,-113,-143,38
539,-104,-112,37
542,-52,-100,26
544,21,44,0
548,127,142,16
551,93,290,37
553,-28,159,34
556,-57,-35,-27
559,-62,-247,-83
562,-72,-296,-33
566,-55,-300,43
569,-50,-159,136
572,-44,-69,122
574,-32,19,20
578,-3,37,-62
581,5,116,-199
584,45,151,-199
587,86,73,-97
591,50,45,-43
593,-4,-165,7
596,-35,-279,80
599,-43,-284,83
602,-52,-109,28
605,-55,-53,6
608,-46,-41,-12
611,-81,-147,-33
614,-87,-179,-7
617,-30,16,66
620,1,135,91
623,21,195,94
626,47,159,-6
629,50,52,-62
632,31,-206,-87
