0,4,-138,8
3,-10,-135,-4
7,-12,-138,-27
10,-15,-143,-17
13,-11,-153,-3
16,3,-163,4
19,17,-152,-1
22,23,-127,-19
25,-129,-64,4
28,-391,-39,11
31,-333,-1130,39
34,-132,-1484,17
37,78,-883,-37
40,-270,-734,1098
43,-434,-529,2727
46,600,-470,-1464
49,1943,-399,-2951
52,717,3722,116
54,-27,4483,-248
57,-931,1551,-2521
60,-304,636,-438
63,-217,790,596
66,-290,738,1565
69,205,-342,1221
72,447,-1358,694
75,406,-672,169
78,454,-884,-422
81,356,-1755,-594
84,-41,-2322,-790
87,102,-1517,-406
90,372,146,-117
92,248,-1247,402
95,379,-1442,697
98,418,-965,708
101,-161,-147,193
104,-301,429,166
107,-534,165,359
110,-486,348,610
113,-497,810,36
116,-221,448,-777
119,-215,1055,-901
122,-405,1148,-753
125,-487,438,416
128,-341,4,677
130,-116,-312,727
134,379,-368,-334
137,487,-1223,-641
140,764,-1397,-410
144,546,-302,-112
147,253,-542,-70
150,110,-476,-90
153,-60,-326,191
156,-155,107,125
158,-255,266,426
162,-193,194,594
165,-75,511,647
168,-78,597,93
171,-168,273,-391
174,-402,-241,-589
177,-363,-268,-346
180,88,-457,141
183,347,-480,117
186,393,-594,-18
189,237,-750,-62
192,131,-492,-16
195,108,-478,-372
198,138,-470,-315
201,82,-447,-148
204,-198,-72,172
207,-273,357,293
210,-241,449,424
213,1,540,381
216,48,360,265
219,115,93,-69
222,55,91,-237
224,13,5,-265
227,-41,-291,-258
230,-1,-455,5
233,9,-292,104
237,18,-388,61
240,50,-633,-6
243,-4,-576,-220
246,-31,-36,-316
249,27,53,-216
252,-32,-95,-9
255,-73,-176,103
258,36,-68,181
261,110,87,189
264,15,35,150
267,13,46,168
270,186,55,56
273,161,30,-99
276,45,-42,-262
279,-293,-339,-223
282,-292,-455,-16
285,-175,-439,214
288,75,-240,167
291,127,-106,-4
294,255,-284,-288
297,229,-186,-307
300,83,124,-208
303,-145,41,61
306,-129,-430,55
309,-113,-343,116
312,-140,-12,215
315,79,34,228
318,185,-64,114
321,176,-103,-42
323,169,51,-251
326,128,17,-204
329,-46,-233,-38
332,-332,-532,95
335,-189,-381,63
338,62,-135,-13
341,17,-212,-20
344,-38,-273,-4
347,98,-17,-130
350,112,45,-192
353,80,-114,-66
356,2,-239,71
359,-33,-190,144
362,13,-54,85
365,73,-83,36
368,130,-43,-7
371,115,-139,-48
374,99,-132,-35
377,61,-171,60
380,-102,-267,61
383,-153,-309,19
386,-268,-238,-54
389,-270,-172,-40
392,-83,-207,25
395,69,-256,49
398,176,-238,29
401,259,-106,-57
404,243,-70,-144
407,175,-54,-128
410,-67,-76,-3
413,-145,-95,245
417,-95,-90,146
420,-45,-121,-139
423,54,-76,-83
426,92,-58,-4
429,152,-233,-35
432,136,-250,-56
435,-77,-245,74
438,-166,-237,119
441,-207,-236,60
444,-107,-179,-86
447,-43,-87,-123
450,34,-192,38
453,56,-185,106
455,54,-134,73
458,15,-79,-114
461,10,-80,-152
464,6,-115,-98
467,-38,-177,78
470,7,-139,149
473,102,-68,8
476,189,-43,-147
479,143,-80,-66
483,41,-149,0
486,-9,-305,84
489,-164,-331,44
492,-188,-290,8
495,-127,-75,29
498,-92,-17,-31
501,-52,-174,-112
504,47,-227,-26
507,84,-272,68
510,116,-198,22
513,109,-134,-31
516,63,-47,-73
519,-66,-58,-4
522,-84,-140,31
525,-27,-80,-3
528,4,-47,-51
531,93,-102,-30
534,137,-123,-6
537,140,-217,2
540,52,-250,28
543,1,-253,30
546,-73,-130,-53
549,-158,-114,-59
552,-105,-146,-24
555,10,-160,35
558,23,-174,40
561,0,-166,16
563,2,-211,-78
567,18,-165,-81
570,-14,-140,23
573,-49,-193,61
576,-55,-190,34
579,25,-138,-24
582,97,21,-31
585,184,-7,-13
588,156,-134,-18
591,9,-121,-12
594,-55,-151,27
597,-92,-281,36
600,-108,-281,3
603,-101,-174,-59
606,-31,-80,-41
609,20,-183,15
612,51,-252,62
615,21,-201,12
618,3,-132,-45
621,20,-158,-58
624,-6,-176,-13
627,-53,-178,21
630,-42,-163,11
634,15,-52,-31
