0,16,780,-203,0.0
3,46,703,-268,333.0
6,100,518,-30,336.0
9,69,472,390,296.0
12,36,385,353,299.5833333333333
15,86,185,151,291.26666666666665
18,202,-78,-377,266.1666666666667
21,249,-184,-383,259.42857142857144
24,208,-566,65,261.0
27,84,-648,157,263.0740740740741
30,-18,-146,122,266.40000000000003
34,-189,40,190,250.84848484848484
37,-244,-200,96,241.58333333333334
40,-274,-319,-9,236.84615384615384
43,-166,-280,-91,234.2619047619048
46,-11,-34,-70,230.57777777777778
49,-29,73,24,218.5625
52,-169,233,146,208.17647058823528
55,-125,255,83,206.75925925925927
58,-39,-11,-51,204.0
61,58,-75,-96,195.48333333333335
64,101,-35,138,189.80952380952382
67,103,-24,93,185.33333333333334
70,106,-73,33,180.46376811594203
73,15,-36,-53,175.88888888888889
76,17,37,-87,170.24
79,9,-20,-100,165.5
82,44,-50,-85,160.96296296296296
85,73,45,108,157.3452380952381
88,146,225,103,154.51724137931035
91,126,270,26,154.63333333333333
94,-63,173,-125,154.18279569892474
97,-127,104,-59,153.125
100,-170,-84,133,151.41414141414143
103,-122,-167,96,150.7549019607843
106,-39,-150,97,150.11428571428573
109,45,-116,11,148.59259259259258
112,43,-54,-12,146.12612612612614
115,49,-213,-1,143.23684210526315
118,20,-235,-58,141.81196581196582
121,17,-206,29,140.875
124,-31,-31,5,139.48780487804876
127,-28,-16,-18,136.69841269841268
130,-68,154,-21,134.0
133,-89,255,-58,132.79545454545453
136,-81,144,-21,132.82222222222222
139,-20,65,14,131.71739130434784
142,52,57,16,129.61702127659575
145,143,45,-90,127.78472222222223
148,144,-47,-81,127.06802721088435
151,81,14,-14,126.33999999999999
154,77,37,2,124.57516339869282
157,84,-78,11,122.92307692307692
160,36,-113,15,121.69182389937107
163,-10,-131,50,120.45061728395062
167,-75,-99,56,119.41818181818182
170,-109,-61,58,118.65476190476191
173,-158,-10,25,117.90643274853801
176,-161,-42,-19,116.98275862068965
179,-153,-8,-4,116.25423728813558
182,-113,-6,44,115.23333333333333
185,55,-121,29,114.23497267759564
188,126,-43,-64,113.49462365591398
191,148,41,-92,112.92592592592592
194,101,91,-44,112.625
197,50,150,12,112.1025641025641
199,13,157,-7,111.47474747474747
202,22,81,-48,110.69154228855722
205,45,-14,-6,109.80392156862746
208,25,8,46,108.52657004830918
211,29,11,1,107.35238095238095
214,30,-93,-49,106.03286384976525
217,15,-77,29,105.35648148148148
220,8,-84,50,104.46575342465754
223,-40,-106,11,103.6936936936937
226,-74,-15,-8,103.00888888888888
230,-125,11,2,102.07894736842105
232,-132,-16,44,101.35064935064935
235,-93,-94,37,100.87179487179488
238,-56,-67,21,100.54008438818566
241,-7,-26,4,99.88333333333333
244,33,15,-12,98.80246913580247
247,32,42,-52,97.84146341463413
250,94,56,-74,97.16867469879519
253,139,97,-41,96.90079365079366
256,160,196,-2,96.84705882352942
259,122,170,-8,97.10852713178294
262,76,-18,-27,97.14176245210729
265,-36,-92,19,96.49621212121212
268,-76,-100,26,95.9625468164794
271,-82,-31,1,95.64444444444445
274,-65,5,26,95.01098901098901
277,-69,1,60,94.32608695652173
280,-58,-121,51,93.77777777777777
283,-41,-151,25,93.59574468085106
286,1,-148,-43,93.3719298245614
289,9,-145,-27,93.06597222222223
292,6,-28,21,92.72852233676976
295,-23,31,38,91.96938775510205
298,-33,102,-3,91.35016835016835
302,-35,102,-76,90.89666666666666
305,-15,137,-17,90.6996699669967
308,78,113,-4,90.36274509803921
311,120,79,-10,90.11650485436894
313,103,10,11,89.91987179487178
316,65,-11,-3,89.45714285714286
319,27,-39,1,88.86163522012578
323,16,-22,4,88.2398753894081
326,10,-8,2,87.55246913580247
329,-2,-45,21,86.81039755351681
332,-26,-69,26,86.22727272727273
335,-119,-87,42,85.81381381381381
338,-145,-68,29,85.78571428571428
341,-108,-74,17,85.74041297935104
344,-66,-71,1,85.5701754385965
347,-32,-23,0,85.22608695652174
350,-10,-35,-3,84.64942528735632
353,3,-23,-3,84.06267806267806
356,95,62,-24,83.4322033898305
359,142,104,-28,83.23809523809524
362,167,120,-54,83.30555555555556
365,74,113,-51,83.5564738292011
368,-54,45,15,83.52185792349727
371,-39,-16,37,83.15176151761518
374,-29,-26,14,82.72849462365592
377,-30,10,13,82.25066666666667
380,-9,-18,22,81.73809523809524
383,2,-81,6,81.22309711286088
386,-3,-88,2,80.8203125
389,1,-93,13,80.43410852713178
392,-17,-102,33,80.08974358974359
395,-49,-75,61,79.8651399491094
398,-89,-11,-9,79.72727272727273
401,-84,2,-11,79.40100250626567
404,-41,22,-25,79.0497512437811
407,-13,16,-3,78.68148148148148
410,13,5,12,78.1813725490196
413,84,22,-60,77.68369829683698
416,90,41,-64,77.52173913043478
418,92,91,40,77.43165467625899
422,92,83,33,77.4095238095238
425,74,78,19,77.35224586288416
427,10,67,-43,77.20892018779342
430,-7,-3,-18,76.94871794871794
433,-25,-80,35,76.47916666666667
436,-54,-87,58,76.2735632183908
439,-62,-92,42,76.2054794520548
442,-61,-104,-17,76.13151927437642
445,-75,-86,5,76.02702702702703
448,-70,-2,8,75.88814317673378
451,-43,-25,27,75.56
454,-9,-56,24,75.26931567328919
457,43,-51,-9,74.96929824561404
460,52,-26,-23,74.70370370370371
463,40,68,-11,74.43722943722943
466,22,121,-36,74.21290322580644
469,19,145,-2,74.11965811965813
