0,3,-78,6
2,10,-76,11
6,1,-73,10
9,-4,-62,1
12,10,-64,-6
15,79,-61,7
18,22,-55,11
21,20,-49,15
24,19,-54,3
27,42,-51,-14
30,962,3446,-115
33,2633,3099,-579
36,3908,5018,-640
40,6869,1744,1679
42,3301,-4985,4560
45,-5523,-1527,-3910
48,-5309,-1891,-1902
52,-6696,1724,-1199
55,-4994,95,2004
57,-1166,-7862,1110
60,712,-7862,1117
63,448,-5974,203
66,-115,2593,-207
69,-385,4891,586
72,-696,3060,-14
75,647,-1019,-399
78,1993,1446,563
81,2365,1622,747
84,1850,943,738
87,1262,4681,707
90,-11,7051,-917
93,-696,5001,-1217
96,-346,-48,-560
99,-176,-1381,-474
102,-60,255,223
105,-251,-54,488
108,-450,-239,520
111,-109,487,574
114,264,1265,187
116,213,-1841,-529
120,192,-2802,-656
123,-144,-597,-181
126,36,107,548
129,177,-715,821
132,167,-458,-63
135,-8,206,31
138,-211,-360,426
141,-559,-574,1030
144,-915,-88,1031
147,-793,371,376
150,-545,345,-209
153,229,-211,-1512
156,218,-991,-1541
159,-150,-633,-63
162,-84,409,269
165,-23,1554,450
168,14,1212,872
171,-94,499,773
173,-184,-445,229
176,-315,-880,-583
180,-379,-1576,-1127
183,89,133,-722
186,480,934,-175
188,420,889,522
191,557,198,885
194,242,-252,692
197,180,-1457,-736
200,-6,-1113,-700
203,281,396,-240
206,430,1154,56
209,357,855,199
212,329,287,112
214,103,-26,210
217,85,-632,229
220,-221,-365,102
223,-417,285,-2
226,-352,35,-211
230,-101,-323,-71
233,4,-400,144
236,116,-488,183
238,156,-236,179
241,-218,-1,-63
244,-263,-52,1
247,-225,133,131
250,-313,29,125
253,-269,-290,68
256,-320,-238,-140
259,-332,36,-40
262,-344,-110,217
265,-204,-54,290
268,-77,138,303
271,169,-525,23
274,14,-269,-256
277,-87,126,-437
280,15,76,-137
283,22,219,-14
286,131,99,44
289,144,-101,16
292,10,201,176
295,-61,126,146
298,10,-10,79
301,152,-51,-238
304,243,-427,-140
307,254,-270,7
310,265,-258,146
313,-3,-36,283
316,-41,133,201
319,-47,169,119
322,201,-220,-216
325,136,-472,-281
328,137,-394,-56
331,10,-7,6
334,-208,140,-3
337,-384,442,-83
340,-411,685,-44
343,-59,0,198
346,42,-344,268
348,160,-685,169
352,-92,-242,-185
355,-167,43,-89
358,-136,21,132
361,59,-80,220
364,112,-118,63
367,74,-206,-22
370,9,-170,13
373,-114,-157,56
376,-94,-129,7
379,27,-279,5
382,125,-396,13
385,2,-113,63
388,-159,205,33
391,-273,288,10
393,-145,117,-40
396,-53,61,-60
399,12,39,6
402,6,-43,18
405,7,-67,30
408,-103,-51,13
411,-103,-160,-19
414,198,-230,-65
417,260,-176,-30
420,290,-73,0
423,119,-25,44
426,-100,5,62
429,-251,-16,-26
432,-209,-70,-24
435,-38,-176,-47
438,297,-198,-53
441,410,-147,-23
444,252,-209,94
447,60,-248,94
450,-104,-69,52
453,-299,-16,-6
456,-249,73,-13
459,-48,129,28
462,-10,98,47
464,-27,-131,35
468,-156,-127,39
471,-164,-205,113
474,-137,-83,68
477,-145,131,-3
480,-175,131,-75
483,-102,-115,-30
486,-23,-543,6
489,21,-569,6
492,54,-298,10
495,180,-52,21
498,196,363,6
502,93,281,9
504,-17,92,31
507,-217,-43,39
510,-218,-39,7
513,69,10,-60
516,153,5,-34
519,279,-115,12
522,251,-252,35
525,174,-229,17
528,70,-161,-3
531,-26,-91,-13
534,-20,-9,-11
537,30,16,-1
540,-9,51,6
543,-79,47,-14
546,-183,45,-52
549,-230,37,101
552,-216,0,165
555,-158,-9,164
558,-54,-180,-5
561,-28,-351,-49
564,-87,-431,-41
567,-78,-287,17
570,-33,-43,70
573,98,5,17
576,122,-3,-25
579,71,-97,-33
582,7,-155,-9
585,-53,-71,69
588,-13,51,6
591,44,137,1
593,77,132,23
596,44,16,37
599,-13,-89,42
602,-150,-171,7
605,-119,-251,24
608,-41,-165,52
611,184,-39,44
614,218,75,8
617,60,60,-57
620,-81,-35,-57
623,-212,-85,-40
626,-240,-82,-20
629,-134,-66,-21
632,70,-15,34
