0,-612,-724,186,1350.0
3,-383,104,-170,707.3333333333333
6,176,1453,-941,563.1666666666667
9,682,35,878,727.6666666666666
12,493,-1327,40,728.6666666666666
15,-363,-1239,-257,746.9333333333333
18,429,-635,-23,759.0555555555555
21,417,536,-402,730.952380952381
24,171,-387,-85,721.0416666666666
27,-268,-241,-241,686.962962962963
30,390,-649,135,663.2666666666667
33,269,333,-63,656.7272727272727
36,99,384,-63,637.1388888888889
39,-69,19,65,617.5128205128206
41,-132,151,9,591.3333333333333
44,-229,644,-128,571.7333333333333
47,-448,-138,-306,569.3541666666667
50,-197,-331,110,565.1176470588234
53,-251,266,253,556.648148148148
56,-185,291,361,551.3859649122808
59,-240,388,247,547.7666666666667
62,-81,56,6,545.0952380952381
65,104,778,-450,531.5757575757575
68,275,633,-522,536.463768115942
71,358,-127,-42,542.3055555555557
74,175,280,80,535.64
77,127,198,289,529.5897435897436
79,-17,-231,142,524.962962962963
82,49,-412,98,518.0
85,-50,94,-9,513.4597701149426
89,1,-51,-39,504.7111111111111
92,53,-181,-33,495.86021505376345
95,4,-227,80,489.3958333333333
98,-19,66,9,483.76767676767673
101,84,-36,-50,476.34313725490193
104,23,-127,-30,470.06666666666666
107,-51,111,47,464.23148148148147
110,-58,-16,-17,458.97297297297297
113,-22,-136,31,452.95614035087715
116,-57,-68,-5,448.0854700854701
119,-14,82,-27,442.9666666666667
122,128,37,-3,438.040650406504
125,65,-18,-12,433.70634920634916
128,-20,-62,2,429.0077519379845
131,-3,-20,8,424.439393939394
134,15,-147,20,419.68148148148146
137,-35,-44,-19,416.2246376811594
140,-2,-2,11,412.3191489361702
143,29,69,-29,408.0
145,-18,50,13,404.6190476190476
148,-63,-43,24,401.0666666666667
151,-3,-8,34,397.9738562091503
154,9,27,-19,394.4551282051282
157,-18,5,-68,391.13207547169816
161,-20,-59,71,388.1543209876543
164,4,-43,5,385.6424242424242
166,16,-21,-57,382.6369047619048
169,-3,-68,-51,379.9824561403509
172,47,-54,24,377.580459770115
175,44,25,-11,375.27683615819205
178,25,26,-4,372.79999999999995
182,-9,-43,-20,370.26775956284155
185,-12,5,48,367.9086021505376
188,-45,25,-13,365.58730158730157
191,-65,-12,-1,363.43229166666663
194,-36,-38,6,361.31794871794875
197,-17,65,-4,359.27777777777777
200,41,-28,3,357.32835820895525
203,28,-98,6,355.36764705882354
206,26,-64,-8,353.75362318840575
209,8,-16,25,352.0238095238095
212,-9,-31,28,350.11267605633805
215,11,-59,-5,348.3425925925926
218,15,-32,14,346.65296803652967
220,13,33,-40,344.94594594594594
224,-33,17,-21,343.3955555555556
227,-48,23,-23,341.8201754385965
230,-18,31,16,340.38528138528136
233,-5,23,-5,338.86324786324786
236,1,-39,5,337.2447257383966
238,4,-49,17,335.7166666666667
241,-3,-30,0,334.3292181069959
244,13,-40,-18,332.82520325203257
247,14,-82,13,331.5100401606426
250,25,-45,5,330.3769841269841
253,13,18,-30,329.1372549019608
256,-6,18,-26,327.8720930232558
259,-10,-9,52,326.5938697318008
262,-10,-2,56,325.42424242424244
265,-24,14,-14,324.2696629213483
268,-52,-10,-9,323.0814814814815
271,-25,-48,1,321.989010989011
274,9,23,-2,320.9311594202899
277,21,10,10,319.752688172043
280,29,-93,-6,318.6241134751773
283,17,-89,-24,317.82456140350877
286,0,-63,10,317.0486111111111
288,-4,-44,17,316.0927835051546
291,-1,-20,-17,315.1292517006803
295,-13,49,0,314.0942760942761
298,-10,49,21,313.16
301,-20,-42,9,312.3036303630363
303,-29,-20,-42,311.43464052287584
306,-10,11,5,310.6472491909385
309,9,-30,11,309.6666666666667
312,21,-54,-10,308.7809523809524
315,26,-53,-18,308.02201257861634
318,5,-62,27,307.3146417445483
321,-8,-68,14,306.6111111111111
324,-31,-35,5,305.908256880734
327,-16,-11,18,305.1606060606061
330,1,73,7,304.34834834834834
333,9,9,9,303.6577380952381
336,-12,1,7,302.8200589970501
338,-29,73,-3,301.9766081871345
342,-5,-7,10,301.3942028985507
345,6,-28,14,300.5833333333333
347,11,-28,-21,299.86039886039885
350,6,-26,-10,299.183615819209
353,-1,-50,5,298.4677871148459
356,10,-49,-3,297.8027777777778
359,15,-39,6,297.1652892561983
362,-10,-40,12,296.5327868852459
365,-25,-34,38,295.9159891598916
368,-37,5,3,295.4032258064516
372,-11,37,-7,294.76
375,8,3,18,294.15343915343914
378,6,-18,-16,293.48818897637796
381,0,-39,5,292.8619791666667
384,7,-49,7,292.25581395348837
387,17,-49,4,291.7076923076923
390,14,-40,9,291.1857506361323
392,18,-42,11,290.6540404040404
395,6,-37,11,290.1503759398496
398,-37,-38,-11,289.6119402985075
401,-46,-8,0,289.1604938271605
404,-13,26,4,288.6372549019608
407,1,16,-14,288.0948905109489
410,10,13,-3,287.5314009661836
413,14,-21,2,286.9640287769784
416,12,-31,-12,286.43095238095236
419,4,-54,0,285.9479905437352
422,2,-75,16,285.4788732394366
425,4,-42,-46,285.0979020979021
428,7,-33,-5,284.7199074074074
431,-6,-18,-6,284.2390804597701
434,-26,8,16,283.73059360730593
437,-30,-6,19,283.27437641723355
440,-27,-9,-7,282.8355855855856
443,-2,-19,-12,282.3758389261745
446,4,5,-3,281.9
450,14,6,8,281.3841059602649
452,15,-11,6,280.91008771929825
455,15,-33,-22,280.45098039215685
458,10,-58,6,280.0800865800866
461,-3,-69,8,279.7225806451613
464,-10,-46,-10,279.38247863247864
467,-11,-10,-4,279.01698513800426
470,-8,2,0,278.56962025316454
473,-6,5,7,278.0964360587002
476,-21,-17,10,277.6458333333333
479,-21,-19,2,277.26293995859214
482,-9,-16,-6,276.87242798353907
485,7,-8,-4,276.46421267893663
488,14,-6,20,276.0365853658537
491,23,-44,-4,275.65656565656565
494,15,-56,-23,275.3433734939759
497,-9,-58,11,275.07984031936127
