time,x,y,z
1006,-12,16,-12
1008,-13,22,-11
1011,-10,10,3
1014,-5,5,8
1017,1,1,-1
1020,1,-10,-1
1023,-1,-11,5
1026,3,-15,6
1029,6,-13,3
1032,8,-16,8
1035,4,-17,6
1038,-2,-9,-2
1041,-11,8,-6
1044,-10,8,-6
1047,51,11,-6
1049,-7,3,-1
1052,3,-4,0
1055,6,-6,1
1058,4,-4,2
1061,3,7,1
1064,0,14,-8
1067,-6,5,-3
1070,-10,-4,-1
1073,-10,-13,3
1076,-3,-5,10
1079,-6,-7,12
1082,-8,-7,5
1086,-4,-3,1
1089,-4,-13,5
1092,-4,-5,12
1095,-2,2,8
1097,-5,7,-1
1100,-5,13,6
1103,-4,-2,1
1106,5,-7,-23
1109,6,-1,-18
1112,0,0,-2
1115,0,7,2
1118,-1,6,9
1122,-9,-8,9
1125,-15,-12,2
1128,-13,-13,-5
1131,-9,-5,-5
1134,-5,6,4
1136,-3,5,2
1139,2,-4,-9
1142,20,-2,-7
1145,28,-9,0
1148,9,-11,-6
1151,-5,-6,-2
1154,-22,7,6
1157,-21,11,3
1160,-17,11,2
1163,-8,17,4
1166,0,12,2
1169,2,-10,-2
1172,6,-16,7
1175,0,-16,3
1178,5,-11,6
1181,1,-1,4
1184,-7,-3,6
1187,-12,-3,7
1190,-25,-13,8
1193,-26,-1,6
1196,-10,-1,5
1199,26,11,-2
1202,36,9,-7
1205,40,2,-22
1208,19,0,0
1211,17,-16,13
1214,0,-22,-6
1217,-73,-4,-7
1220,-26,3,2
1223,-29,6,14
1226,-19,14,4
1229,-9,12,4
1232,2,3,4
1235,19,-2,-13
1238,18,-8,-11
1241,7,-12,3
1244,-1,-11,3
1247,-5,-6,2
1250,-3,0,-1
1253,2,7,-4
1256,6,12,-13
1259,3,12,-10
1262,-8,-4,-3
1265,-6,2,0
1268,-10,10,-3
1271,-10,15,-1
1274,-12,-2,0
1277,-17,-12,5
1280,-18,-18,4
1283,-10,-8,3
1286,-5,2,-2
1289,1,10,-4
1292,-5,10,0
1295,-10,12,2
1298,-10,0,12
1301,-3,-5,5
1304,13,-7,-13
1307,32,-6,-4
1310,36,-10,7
1313,28,-21,4
1316,18,-22,5
1319,11,-14,3
1322,-1,-12,1
1325,-1,3,-8
1328,-10,12,-2
1331,-16,12,3
1334,-27,11,11
1337,-27,9,9
1340,-22,-3,1
1343,-6,-7,-10
1346,3,-10,-7
1349,14,-9,-4
1352,17,-8,-1
1355,24,0,-2
1358,26,5,-4
1361,19,9,-4
1364,-8,9,-2
1367,-20,7,7
1369,-35,-6,15
1372,-33,-11,10
1375,-22,-10,7
1379,7,-10,-1
1382,19,-6,6
1385,23,-8,7
1388,23,-6,5
1391,9,-1,-5
1394,4,3,-7
1396,-4,10,-4
1400,-16,16,-3
1403,-23,10,-1
1406,-21,2,7
1409,-12,-8,6
1412,3,-10,0
1415,11,-10,-1
1418,18,-12,3
1421,7,-11,-4
1424,5,-8,2
1426,-4,-9,9
1429,-3,-10,4
1432,-9,2,-2
1435,-10,11,1
1438,-11,11,8
1441,-8,6,5
1444,-3,-1,1
1447,2,-5,-1
1450,7,-1,-7
1453,3,3,-11
1456,-2,10,0
1459,-6,3,6
1462,-8,-6,6
1465,-3,-15,-1
1468,-1,-14,0
1471,0,-6,1
1474,-3,0,1
1477,-1,2,1
1480,0,2,5
1483,3,-1,5
1486,-2,-6,-5
1489,-1,-2,-3
1492,-10,1,-9
1495,-9,4,-9
1498,-10,3,-4
1501,-3,0,1
1504,4,0,0
1507,6,-2,2
1510,4,0,-3
1513,-2,6,0
1516,-6,2,2
1519,-7,-4,2
1522,-6,-9,1
1525,-7,-7,4
1528,-9,-9,5
1531,-1,-6,5
1533,2,-10,2
1536,4,-14,0
1539,6,-11,3
1542,2,8,1
1546,-7,19,1
1548,-10,20,1
1552,-10,15,1
1555,-8,-2,-1
1558,-2,-13,0
1561,6,-19,1
1564,4,-10,4
1567,3,-3,4
1570,4,-2,5
1573,1,-9,3
1576,-1,-12,4
1579,-8,-11,0
1582,-11,-4,-5
1585,-10,13,1
1588,-6,21,-2
1591,2,8,-4
1594,7,0,0
1597,5,-7,2
1600,-4,-12,4
1603,-6,-6,4
1606,-10,0,2
1609,-9,1,-1
1612,-7,1,-1
1615,-1,-5,5
1618,0,-6,4
1620,1,-1,-3
1623,-1,1,-1
1626,2,-4,4
1629,1,-8,4
1632,-2,-4,4
1635,-6,3,3
1638,-8,5,-4
1641,-4,8,-8
1644,-1,4,-3
1647,1,0,-7
1650,4,-9,-7
1653,2,-5,-4
1656,0,0,5
1659,-7,3,6
1662,-2,0,3
1664,-6,-7,0
1668,-5,-10,3
1671,-7,-5,5
1674,-8,2,5
1677,-8,7,6
1680,-1,3,5
1683,1,0,-4
1686,7,-6,-4
1689,8,-11,1
1692,5,-4,5
1695,-8,4,4
1698,-10,7,2
1702,-15,7,-3
1705,-14,5,-2
1708,-3,0,-2
1711,5,-2,-3
1714,9,-2,-4
1717,9,-5,4
1719,4,-9,5
1723,-4,-16,2
1726,-9,-13,6
1729,-12,-7,1
1732,-10,0,-9
1735,-4,9,-4
1738,2,8,-2
1741,7,6,-7
1744,2,3,-6
1746,-3,3,-4
1749,-11,9,7
1752,-12,5,8
1755,-15,-3,7
1758,-13,-7,11
1761,-10,-10,7
1764,0,-11,5
1767,6,-7,5
1770,9,-8,4
1773,14,-3,-5
1776,14,-4,-3
1779,7,-2,0
1782,7,-1,-2
1785,-1,5,-3
1788,-10,5,-2
1791,-12,1,-2
1794,-16,-1,0
1797,-12,2,-3
1800,-2,0,-3
1803,2,0,-5
1806,8,0,-3
1809,15,-3,-1
1812,14,-8,2
1815,2,-13,0
1818,-3,-7,1
1821,-6,-5,5
1824,-11,-3,2
1827,-11,3,1
1830,-4,-1,-1
1833,2,-1,-5
1836,7,4,-4
1839,8,5,-6
1842,4,8,-2
1845,-7,6,-2
1848,-10,2,0
1851,-10,-5,5
1854,-6,-10,5
1857,-4,-13,0
1860,0,-1,-3
1863,7,0,8
1865,8,4,1
1868,7,-1,5
1871,7,-14,5
1874,3,-8,5
1877,0,-2,3
1880,-8,-11,-1
1883,0,-5,1
1886,6,-3,-1
1889,21,-4,6
1891,26,-7,5
1894,29,-12,5
1898,21,3,-5
1901,14,-8,-6
1904,-4,-5,-5
1907,-15,13,-1
1910,-45,17,6
1913,-58,17,6
1916,-56,14,11
1919,-47,10,8
1922,-30,6,4
1925,5,-10,0
1927,24,-4,-7
1930,32,-5,-3
1933,37,-11,-1
1936,31,-12,-5
1939,6,-16,0
1942,-6,-13,2
1945,-12,-2,-3
1948,-20,9,2
1951,-21,16,9
1954,-12,15,7
1957,-10,11,1
1960,-3,2,0
1963,5,-6,1
1966,6,-8,2
1969,6,-18,-2
1972,2,-20,-1
1975,6,-8,2
1978,8,-8,-5
1981,9,6,-1
1984,0,4,0
1987,-7,2,4
1991,-14,9,1
1994,-16,12,-1
1997,-16,11,0
2000,51,0,1
2003,-3,-6,0
2006,138,-123,-1
2009,233,-399,-12
2012,317,-334,-48
2015,300,-53,418
2018,204,55,712
2020,-101,-167,494
2023,-822,-164,60
2026,-826,109,-432
2029,-644,714,-782
2032,191,-1079,-337
2035,740,102,164
2038,509,1053,-71
2041,52,863,-255
2044,-268,198,-105
2047,-590,176,-260
2050,-514,653,-185
2053,161,-650,-6
2056,241,-482,65
2059,159,-180,275
2062,133,296,393
2064,182,138,17
2067,242,-130,-175
2070,260,-180,-246
2073,262,-443,-44
2076,-49,-745,36
2079,-254,-484,-26
2082,-334,157,-46
2085,-145,58,79
2088,-18,48,162
2091,76,314,228
2094,99,378,288
2097,37,394,170
2099,-222,254,-73
2102,-251,216,-172
2105,-118,-84,-161
2108,157,-313,-89
2111,190,-361,-15
2114,118,-313,11
2117,64,-75,-52
2120,33,184,15
2124,30,94,-113
2126,30,-30,-116
2130,-29,0,149
2133,-115,-37,173
2136,-159,-13,120
2139,-41,76,23
2142,53,213,-151
2145,118,42,-180
2147,102,-6,-6
2150,-55,-52,22
2153,-71,1,-5
2156,25,-324,37
2159,22,-242,-41
2162,7,-82,-42
2165,58,-42,-83
2168,10,-11,-42
2171,-103,241,47
2174,-40,350,47
2177,71,185,24
2180,117,72,-159
2183,41,14,-52
2186,-82,-78,145
2189,-129,-118,134
2192,-93,-60,4
2195,-28,-76,-60
2198,48,-152,-5
2201,123,-191,56
2204,90,-175,106
2207,44,-80,11
2210,14,18,-67
2213,1,94,-187
2216,-10,108,-167
2219,-40,220,66
2223,-166,181,57
2226,-162,68,115
2229,0,81,134
2232,75,-38,28
2235,125,-195,-103
2238,92,-174,-25
2241,-8,-110,80
2244,-12,18,84
2247,21,-73,12
2250,17,-102,-12
2253,-14,-139,25
2256,-32,-113,-21
2259,-89,-11,-91
2262,-50,202,-39
2265,-10,219,21
2268,57,130,-2
2271,47,74,-78
2274,23,72,-82
2277,-6,34,1
2280,-2,-10,4
2283,11,-64,11
2286,29,-164,4
2289,11,-204,2
2292,-60,-136,50
2295,-71,55,73
2298,14,71,43
2301,54,33,26
2304,65,-41,-54
2307,18,-47,-100
2310,-15,4,-73
2313,-71,125,18
2316,-59,214,14
2319,-18,90,-26
2322,34,3,-34
2324,25,-89,-33
2327,-15,-90,43
2330,-35,-34,18
2333,-38,57,6
2336,27,12,57
2339,61,-31,38
2342,50,-107,-42
2345,30,-115,-22
2348,2,-8,16
2351,-85,48,57
2354,-86,65,-31
2357,-13,11,-73
2360,13,-43,-62
2363,37,-5,14
2366,41,33,35
2369,34,59,27
2372,10,78,-64
2375,-2,82,-83
2378,-9,29,-44
2381,-14,-4,8
2384,-65,-85,58
2387,-63,-56,52
2390,-22,-80,63
2393,57,-53,28
2396,73,-24,-49
2399,15,8,-35
2402,-10,10,38
2405,-30,-33,58
2408,-23,32,43
2411,-15,86,18
2414,8,11,-108
2417,23,-42,-106
2420,15,63,-47
2423,-21,8,14
2426,-29,17,42
2429,-22,42,17
