0,-5,-128,10
3,-4,-128,11
6,-4,-128,13
9,-4,-128,14
12,-6,-130,15
15,-4,-128,15
18,-2,-127,10
21,0,-128,13
24,2,-124,10
27,3,-121,13
30,3698,2582,-968
33,5772,8022,-1855
35,8040,8022,-2087
38,8040,-7976,-1794
41,5635,-7976,9017
44,-426,-7805,4453
47,-7839,6671,-3519
50,-7958,-2930,-3497
53,-5684,-7976,-2429
56,-1561,-7976,61
59,1885,739,309
63,2717,-971,135
66,758,-618,945
69,-2871,5878,1635
71,-2873,6082,2099
74,-2679,-141,752
77,179,-2064,-78
80,1180,1338,-238
83,1128,4576,489
86,-180,5771,1059
89,-1183,795,1197
92,-1472,143,-1431
95,-1416,-46,-2554
98,-1053,-759,-1790
101,-395,-560,-1188
105,68,1999,899
107,-349,1262,626
110,-802,-962,119
113,-1063,-1241,353
116,-757,-1429,117
119,-423,-1797,-78
122,-233,-1420,287
125,-284,-746,709
128,-487,-1148,858
131,-852,-1962,-67
134,-1058,-1586,-245
137,-984,-1026,-188
140,-657,116,9
143,-469,562,62
146,-315,765,-259
149,-435,527,-31
152,-598,-241,229
156,-500,-104,385
159,-268,434,155
162,317,192,-7
165,428,-226,-233
168,376,-284,-385
171,204,-427,-276
174,124,-422,-137
177,144,-398,-21
180,372,-216,135
183,506,-362,207
186,369,-355,64
189,281,-257,-5
192,191,-82,-77
195,10,42,-108
198,-81,160,-119
201,-77,334,69
204,-72,379,178
207,-45,70,200
210,-191,-208,145
213,-248,-336,35
216,-263,-106,-46
219,-49,-174,-140
222,35,-182,-160
225,75,-276,-100
228,10,-222,-6
231,-105,-195,81
234,-76,-282,149
237,22,-222,187
240,118,-94,178
243,50,26,107
246,-37,-75,-49
249,-8,-218,-94
253,-76,-331,-182
256,-47,-63,-174
259,106,103,-20
262,61,109,97
265,-91,-37,74
268,-87,-134,-81
271,80,-213,-61
274,95,-220,-37
277,122,-72,76
280,97,-70,71
283,40,-253,89
287,-17,-348,25
290,-37,-248,56
293,-47,-201,-27
296,-67,-130,-82
299,-51,-150,-27
302,-21,-203,-7
305,-21,-239,19
308,-56,-104,81
311,-105,151,160
314,-92,166,114
317,-101,75,9
319,-123,-19,-183
323,-65,-101,-172
326,117,-298,28
329,196,-373,83
331,263,-326,112
334,242,-203,105
337,172,-199,24
340,53,-106,-203
343,-91,28,-144
346,-132,123,-33
349,-159,-116,196
352,-136,-206,255
355,-12,-189,133
358,-24,-172,37
361,-55,-184,-65
365,-32,-136,-179
368,-7,-60,-181
371,21,-62,3
374,42,-195,122
376,-2,-118,187
379,-18,-74,149
382,5,-197,14
385,16,-215,-36
388,12,-177,-63
391,18,-54,5
394,8,-21,31
397,-17,17,-37
400,-11,-21,-51
403,30,-170,-133
406,119,-323,-111
409,127,-358,21
412,44,-167,213
415,-28,-69,229
418,-70,-148,196
421,-106,-104,-8
424,-140,-34,-115
427,-178,-50,-152
430,-147,-144,-54
433,4,-217,146
436,72,-201,100
439,115,-113,19
442,108,-89,-74
445,59,-89,-20
448,-49,-49,-8
451,-46,-22,-15
454,11,-81,69
457,23,-39,42
460,1,-218,35
464,26,-314,-7
467,30,-285,51
470,12,-228,59
473,14,-26,74
476,3,-21,-6
479,-22,-41,-66
482,-38,-94,-19
486,-21,-150,16
489,-59,-128,34
492,-65,-101,37
495,-41,-154,74
498,-46,-201,91
501,-44,-170,25
504,-72,-126,-22
507,-43,-99,-62
510,55,-160,-37
513,139,-175,-41
516,170,-114,-44
519,148,-84,-3
522,24,-89,48
525,-62,5,78
528,-115,-41,66
531,-69,-114,50
534,-7,-222,26
537,7,-221,-17
540,-33,-199,-40
543,-73,-222,7
546,-45,-250,47
549,-36,-35,54
552,-36,42,12
555,4,-109,10
559,57,-190,11
562,28,-167,-7
565,-16,-137,-2
568,-14,-85,69
571,-32,-62,89
574,-57,23,63
577,-29,-78,-67
580,19,-182,-127
583,41,-214,-73
586,66,-198,17
589,95,-204,134
592,137,-212,103
595,103,-124,97
599,-29,-28,51
602,-93,-31,-56
605,-184,-76,-82
608,-199,-43,-58
611,-115,-136,34
614,-28,-312,72
617,84,-313,64
620,80,-228,31
623,49,-121,-38
626,23,-100,-59
629,3,-11,-65
632,-3,53,3
