0,1,-51,-2
3,-3,-52,-1
6,-106,21,10
9,-155,225,21
12,86,-11,45
15,208,26,18
18,297,-291,-43
21,349,-685,1
24,353,-517,-98
27,485,-616,247
30,41,-867,792
33,-168,-3406,936
37,386,-925,-566
40,15,2167,-1522
43,-515,3506,-1313
46,-513,2538,7
49,-775,2179,760
52,-734,1734,1142
55,-375,-379,1377
58,-298,-1376,839
61,-242,-1058,234
64,24,-718,-471
67,65,-761,-1377
70,166,-935,-1159
73,305,-905,-779
76,555,-1051,-208
79,480,-1052,-70
82,278,-585,-81
85,193,-104,104
88,94,512,318
91,-80,694,554
94,-144,881,652
97,-321,712,771
100,-359,649,778
103,-360,452,707
106,-402,361,524
109,-285,107,308
113,49,29,-304
115,119,-430,-669
119,310,-816,-979
122,377,-1030,-641
125,386,-1073,-412
128,317,-921,-167
131,25,-139,145
134,-102,368,230
137,-209,697,213
140,-234,483,175
143,-200,420,144
146,-159,395,8
149,-154,188,-47
153,-139,171,-36
156,-93,-5,-26
159,117,-384,-65
162,260,-798,-108
165,332,-967,-77
168,275,-580,-6
171,113,56,83
173,-8,112,100
176,-23,225,130
179,-86,288,125
182,-145,50,57
185,-194,-179,-15
188,-296,0,-99
191,-282,325,-100
194,-35,341,-20
197,111,102,35
200,183,-127,101
203,114,-465,97
205,75,-622,17
208,19,-497,-143
211,-20,-201,-163
214,9,27,-153
217,120,28,-109
220,89,67,-74
223,-1,220,-28
226,-128,492,124
229,-164,485,147
232,-116,246,114
235,67,68,79
238,93,-408,40
241,51,-608,-107
244,31,-472,-172
248,30,-315,-118
251,55,-270,-64
254,93,-324,-12
257,92,-290,18
259,-23,120,71
262,-141,289,80
265,-241,374,50
268,-206,279,31
271,-151,232,39
274,-92,62,111
277,-7,-48,121
280,27,-118,137
283,56,-180,59
285,92,-220,-10
288,146,-522,-95
292,174,-517,-181
295,74,-200,-167
298,-38,-146,-119
301,-104,86,-58
304,-79,303,30
307,-30,464,34
310,20,315,37
313,30,161,59
316,-39,152,73
319,-160,142,57
322,-144,-163,18
326,-5,-326,-61
329,67,-439,-117
332,129,-448,-118
335,138,-464,-89
338,65,-335,36
341,12,-176,104
344,-15,35,114
346,-38,74,67
349,-62,136,4
352,-135,329,-89
355,-163,386,-94
358,-150,215,-32
362,-99,76,112
364,-45,-85,122
367,87,-175,59
370,153,-295,38
373,163,-393,-113
376,138,-388,-143
379,107,-385,-129
382,71,-381,-113
385,33,-320,-86
388,-55,-34,7
391,-99,110,13
394,-128,326,6
397,-169,436,41
400,-168,475,102
403,-115,293,185
406,-70,128,158
409,-31,-52,40
412,28,-86,-38
415,77,-124,-116
418,148,-342,-203
421,162,-453,-198
424,135,-519,-92
427,106,-481,-27
430,74,-271,18
433,0,-88,25
436,-18,196,8
439,-62,237,-14
442,-100,251,-16
445,-167,264,47
448,-181,258,102
451,-174,229,161
454,-99,86,196
457,-38,-25,146
460,35,-217,-18
463,129,-293,-106
466,132,-364,-171
469,97,-404,-195
472,68,-357,-152
475,35,-190,-18
478,31,-141,7
480,11,-40,2
484,-52,60,-15
487,-83,218,-3
490,-82,237,27
493,-46,249,61
496,-35,244,124
499,-41,170,126
501,-23,41,97
504,17,-156,-31
507,28,-180,-99
510,40,-239,-142
513,57,-286,-131
516,50,-295,-91
519,29,-285,-9
522,24,-284,7
525,18,-168,22
528,-19,-28,34
531,-39,113,39
534,-72,205,35
537,-91,187,41
539,-111,101,52
542,-114,64,25
545,-84,-19,-11
548,-33,-103,-48
551,77,-93,-41
554,126,-96,-35
557,160,-186,6
560,136,-229,24
563,87,-242,34
566,-10,-232,-7
569,-36,-175,-94
572,-60,-83,-111
575,-74,148,-95
579,-81,134,2
582,-80,125,120
585,-80,112,139
588,-53,68,128
592,27,30,26
594,40,-71,-31
598,8,-73,-100
601,-7,-195,-106
604,-9,-243,-86
607,2,-247,-57
610,70,-173,4
613,103,-130,13
616,115,-56,17
619,55,-32,16
622,9,-2,19
624,-64,29,30
627,-86,26,31
630,-99,26,28
633,-85,18,5
