0,-419,-998,148,1350.0
3,-646,-875,-48,721.6666666666666
7,-591,35,-109,722.3333333333334
10,-323,265,-291,629.8888888888889
13,53,758,-267,595.6666666666667
16,444,756,-170,588.4000000000001
18,507,604,-92,599.7777777777778
21,524,378,340,599.952380952381
24,445,430,236,601.7083333333333
27,250,640,34,598.2222222222222
30,-28,344,-137,589.2
33,-85,-33,-301,569.2424242424242
36,-65,-835,-112,550.1111111111111
39,-126,-1023,-14,549.1282051282051
42,-93,-717,-4,551.8809523809523
45,-13,-385,177,546.5111111111112
48,72,-97,320,536.8333333333333
51,64,-228,263,526.6078431372549
54,34,-418,191,518.7407407407406
57,-27,-581,93,513.2456140350878
60,-166,-339,-28,509.26666666666665
63,-206,386,-14,503.0
66,-214,488,-41,498.40909090909093
69,-172,391,-66,496.2028985507246
72,-156,396,-293,492.59722222222223
75,-37,360,-304,492.16
78,88,400,-11,489.9102564102564
81,96,430,244,485.3333333333333
84,68,394,239,484.3095238095238
87,129,88,-95,482.5632183908046
90,157,-265,-188,476.61111111111114
93,116,-609,-91,474.247311827957
96,11,-578,110,474.1770833333333
99,-49,-270,190,472.9292929292929
102,-126,-163,152,469.8921568627451
105,-94,-87,68,466.38095238095235
108,35,-176,-104,461.287037037037
111,62,-230,-3,457.06306306306305
114,61,-74,108,452.88596491228066
117,103,45,53,448.47863247863245
120,199,52,-45,443.9416666666667
123,288,114,-107,440.3983739837398
125,150,257,-93,438.71428571428567
128,9,345,-2,437.0387596899225
131,-239,241,-6,434.3484848484849
134,-290,101,-32,432.74074074074076
137,-310,-18,11,430.74637681159425
140,-193,-129,-35,428.2411347517731
143,-107,-203,-21,425.9652777777778
147,68,-199,45,423.6054421768707
150,143,-39,34,421.21333333333337
153,114,-32,29,418.28758169934645
156,74,-45,56,415.21153846153845
158,-13,-80,25,412.2515723270441
161,-14,-110,49,409.0493827160494
164,-16,-145,33,406.29696969696965
168,-4,-82,-31,403.7678571428571
171,76,45,-23,400.8771929824561
174,134,113,9,398.2413793103449
177,144,82,-5,396.3276836158192
180,53,39,-66,394.33888888888885
182,-25,-10,-30,392.016393442623
186,-83,-54,19,389.26881720430106
189,-123,-10,6,387.08994708994715
192,-141,27,-35,384.890625
195,-103,103,-29,383.08717948717947
198,-46,43,-27,381.5
201,11,-30,94,379.3681592039801
203,20,-92,118,377.3921568627451
206,24,-113,44,375.9323671497584
209,-9,-100,-112,374.2809523809524
212,-15,-16,-17,372.86384976525824
215,74,-28,41,370.6851851851852
218,114,-26,28,369.0
221,145,-36,7,367.47297297297297
224,109,-133,61,366.0755555555555
227,41,-151,68,365.219298245614
230,-5,-7,7,364.19913419913416
233,-70,29,-112,362.1752136752137
236,-58,22,-17,361.0126582278481
239,-54,50,52,359.4041666666667
242,-77,113,45,358.0781893004115
245,-99,85,-58,357.1056910569106
248,-71,22,-26,356.18473895582326
251,-38,3,27,354.79761904761904
254,47,5,-12,353.24313725490197
257,81,1,-19,351.7093023255814
260,90,-90,12,350.35249042145597
263,37,-118,28,349.3712121212121
266,-25,-122,9,348.3782771535581
269,-98,-154,44,347.30740740740737
272,-84,-121,58,346.7728937728938
275,15,-26,20,346.1304347826087
277,82,3,-26,344.77777777777777
280,122,-43,-63,343.63120567375887
283,108,-78,6,342.9192982456141
286,90,-116,-13,342.09722222222223
289,-5,-8,-16,341.3848797250859
292,-17,66,14,340.0408163265306
295,-64,149,36,338.95286195286195
298,-151,188,-56,338.3933333333333
301,-156,118,-12,338.3267326732673
304,-74,-97,21,337.9052287581699
307,-22,-149,-4,337.1877022653722
310,15,-109,-19,336.4294871794872
313,52,-65,-2,335.584126984127
316,54,-48,74,334.6792452830189
320,34,-31,42,333.9688473520249
323,39,-86,28,333.05864197530866
326,47,-128,9,332.3058103975535
329,35,-94,12,331.660606060606
332,25,-57,15,330.8978978978979
335,44,-108,-44,330.0178571428571
338,125,-19,19,329.4454277286136
341,173,-11,74,328.7865497076024
344,180,29,-8,328.4144927536232
347,169,-10,-80,327.9310344827586
350,56,108,-116,327.57549857549856
353,-296,-308,518,327.2853107344633
356,-518,-395,479,329.35854341736695
359,-521,-143,216,332.14722222222224
362,-262,-175,-143,333.4793388429752
365,-48,-650,-549,333.96994535519127
368,420,-326,-641,336.260162601626
371,539,610,-315,338.88978494623655
374,138,1656,344,341.6826666666667
377,-20,1781,-33,346.2142857142857
380,-291,1074,-156,349.87664041994753
383,-626,271,-239,352.66666666666663
386,-86,-1114,278,354.4186046511628
389,100,-1042,387,357.02051282051286
392,61,-601,357,359.7124681933842
395,249,-90,-224,361.0757575757576
398,400,-337,-252,361.2756892230576
401,395,-717,49,362.5323383084577
404,284,-737,70,364.1950617283951
407,170,-732,68,365.6617647058823
409,-287,-221,-71,366.81265206812657
413,-519,209,-49,367.0024154589372
416,-520,-9,292,367.66426858513194
419,-52,43,312,368.4214285714286
421,87,85,171,368.18912529550823
424,148,377,-225,367.80985915492954
427,154,502,-118,368.38461538461536
430,188,369,15,369.00694444444446
433,141,323,-115,369.1563218390804
436,158,-4,-90,369.31963470319636
439,69,-335,37,368.7392290249433
442,-131,-376,76,368.59234234234236
445,-139,-52,8,368.76510067114094
448,-161,-69,-59,368.0822222222222
451,-175,-219,-66,367.60706401766004
454,-55,-351,59,367.5131578947369
457,71,-296,56,367.4313725490196
460,157,292,-101,367.2597402597403
463,96,353,-107,367.36344086021506
466,32,376,-58,367.47863247863245
469,3,68,179,367.4012738853503
472,-9,-95,40,366.8691983122363
475,27,-242,20,366.12159329140457
478,-25,-206,5,365.6854166666667
481,-250,185,-3,365.1449275362319
484,-194,144,-73,365.02674897119346
487,-116,-216,-83,364.85480572597135
490,198,-417,64,364.6930894308943
493,287,-491,50,365.06666666666666
496,229,-270,101,365.73493975903614
499,116,-10,-23,365.94011976047904
502,-8,388,-111,365.2480158730159
505,-150,362,-49,365.2702169625246
508,-190,245,-14,365.39803921568625
511,-130,170,-8,365.30604288499023
514,-113,101,-26,364.9418604651163
517,-27,-39,17,364.4508670520231
520,42,-50,5,363.6647509578544
523,14,-18,13,362.9142857142857
526,-17,-10,-31,362.0738636363636
529,-1,-156,28,361.2674199623352
532,9,-238,84,360.70786516853934
535,17,-228,27,360.4264432029795
537,20,-131,-7,360.0388888888889
540,46,-256,-21,359.4456721915285
543,60,-206,108,359.1611721611722
546,49,-97,122,358.9726775956284
549,65,74,-103,358.59420289855075
552,61,190,-147,358.17297297297296
555,-53,243,-16,358.03584229390685
558,-40,171,-10,357.74688057041
561,-8,61,3,357.29964539007096
564,4,63,27,356.5943562610229
567,-29,165,-1,355.9350877192983
570,-94,73,-56,355.45898778359515
573,-113,-43,-15,355.03645833333337
576,-85,-141,34,354.5284974093264
579,-5,-316,65,354.1786941580756
582,58,-255,119,354.04786324786323
585,1,-62,-8,353.9965986394558
588,-45,-8,-75,353.3350253807107
591,-35,-28,-17,352.7760942760943
594,80,-131,40,352.14237855946396
597,144,-174,54,351.79999999999995
