0,442,-487,638,1350.0
3,-263,-838,392,722.3333333333334
6,-888,-646,98,710.0
9,-1007,161,-1456,721.3333333333334
12,-363,417,-1498,809.6666666666666
15,-12,67,-262,839.6
18,401,44,299,751.9444444444445
21,427,-309,376,708.5238095238096
25,712,-511,258,691.2916666666667
27,585,158,152,691.5555555555557
31,246,349,30,672.2333333333333
34,185,545,-43,648.2424242424242
36,137,-27,-143,632.3611111111111
39,-11,-349,-91,606.9743589743589
42,-54,-408,115,588.6428571428571
45,-96,-348,180,575.5555555555557
48,-181,195,187,565.0833333333333
51,-255,250,50,554.6470588235295
54,-215,225,134,545.2222222222222
57,-176,4,176,537.1228070175439
60,-268,-133,155,526.2
63,-316,-6,104,519.4920634920635
66,-292,70,-57,511.42424242424244
69,-221,45,-257,503.95652173913044
72,-28,-207,-208,498.55555555555554
76,116,-286,-182,492.52
79,258,98,-156,488.7564102564102
81,278,256,55,484.38271604938274
84,278,312,131,481.23809523809524
87,149,299,116,479.82758620689657
90,73,130,64,476.76666666666665
93,64,-324,-8,470.7096774193548
96,38,-367,66,466.375
99,-25,-11,84,463.06060606060606
102,-109,72,14,456.5
105,-76,-10,-8,451.02857142857147
108,-50,-31,-55,444.925925925926
111,-54,-93,6,439.5315315315315
114,-61,-206,10,434.5701754385965
117,-96,-117,41,430.9230769230769
120,-111,118,103,427.26666666666665
123,-45,203,-97,424.42276422764223
126,12,143,-182,421.81746031746036
129,18,90,-19,419.2713178294574
132,65,72,107,415.25
135,83,44,79,412.27407407407406
137,97,49,-36,409.1521739130435
140,86,46,-83,405.9929078014185
143,73,6,-68,403.19444444444446
146,21,-108,-6,400.04761904761904
149,5,-152,10,396.9466666666667
152,-19,-243,90,394.17647058823525
155,-58,-205,135,392.6987179487179
158,-79,-106,122,391.566037735849
161,-150,17,-57,389.9135802469136
164,-117,13,-90,387.81818181818187
167,-105,50,26,385.7738095238095
170,-49,45,47,383.57309941520464
173,5,-15,-81,381.2183908045977
176,149,-8,-112,378.71751412429376
179,148,24,-65,377.23333333333335
182,87,76,-49,375.62295081967216
185,57,66,4,373.93010752688167
188,14,108,54,371.8412698412699
191,-71,115,0,370.07291666666663
194,-61,-111,-46,368.4102564102564
197,-11,-135,54,366.95959595959596
200,5,-166,61,365.46268656716416
203,35,-164,-28,364.16666666666663
206,25,-65,-12,362.8840579710145
209,-4,27,20,361.04285714285714
212,-62,31,56,359.0140845070423
215,-74,-62,29,357.4953703703703
219,-98,-73,69,356.0913242009133
222,-52,-39,-23,355.06306306306305
225,-1,17,-65,353.50222222222226
228,50,22,-81,351.84649122807014
231,82,54,18,350.53679653679654
234,85,44,49,349.2649572649573
238,73,79,-93,348.126582278481
240,27,77,-60,347.29583333333335
243,-12,52,40,346.15226337448564
246,-25,31,37,344.79268292682923
249,-39,-35,-62,343.4216867469879
252,-26,-125,-71,342.25396825396825
255,-11,-135,-4,341.4509803921569
258,-2,-138,77,340.38759689922483
261,-27,-71,41,339.60536398467434
264,-44,-74,83,338.5454545454545
267,-52,-15,64,337.7415730337078
270,-54,5,-35,336.6962962962963
273,-37,23,-45,335.53846153846155
276,5,-14,-74,334.445652173913
279,81,-35,-16,333.33333333333337
282,100,-24,3,332.3829787234042
285,32,77,19,331.4350877192983
288,-4,110,-15,330.51041666666663
291,-55,137,-18,329.6082474226804
294,-60,79,11,329.0
297,-49,2,-12,328.2020202020202
300,-6,-117,14,327.13
303,17,-112,53,326.32343234323434
306,36,-69,-40,325.67973856209153
309,54,-63,-28,324.92880258899675
312,52,-23,65,324.1923076923077
315,6,-82,52,323.45396825396824
318,-37,-109,-7,322.7295597484277
321,-146,-61,51,322.05919003115264
324,-156,-15,36,321.7253086419753
327,-103,28,-49,321.2415902140673
330,40,24,-35,320.6848484848485
333,100,43,-57,319.8948948948949
336,81,45,-43,319.41964285714283
339,50,2,-5,318.8613569321534
342,16,59,33,317.98538011695905
345,-2,19,-13,317.2724637681159
348,18,26,-43,316.35919540229884
350,19,48,-41,315.6125356125356
353,-32,-10,-20,314.9378531073446
356,-43,-28,1,314.14565826330534
359,-24,-111,42,313.39444444444445
362,-17,-146,72,312.9449035812672
365,-3,-105,45,312.6612021857924
368,-12,-28,25,312.159891598916
371,-20,5,-12,311.4301075268817
374,-36,0,-19,310.63733333333334
377,-24,-21,15,309.9047619047619
380,20,2,10,309.1968503937008
383,39,-6,-34,308.4270833333333
386,53,-4,-47,307.7906976744186
389,33,28,34,307.2282051282051
392,-4,16,18,306.65139949109414
395,-37,5,-98,305.93939393939394
398,-60,-1,-26,305.4937343358396
401,-28,8,23,304.9228855721393
404,21,33,28,304.29135802469136
406,34,20,-42,303.72549019607845
409,37,-16,-44,303.2019464720195
413,39,-73,27,302.68840579710144
416,6,-91,11,302.2829736211031
419,-33,-90,5,301.8095238095238
422,-26,-51,54,301.3900709219858
425,-49,-35,66,300.9835680751174
428,-57,-23,21,300.6270396270396
431,-24,12,-27,300.162037037037
434,-11,29,8,299.616091954023
437,-4,-2,-38,299.0433789954338
440,32,-27,-24,298.46938775510205
443,61,-28,-49,297.990990990991
446,64,-10,2,297.6420581655481
449,41,20,16,297.16
452,-1,49,-17,296.68653421633553
455,-43,59,-10,296.19736842105266
458,-63,55,24,295.8126361655773
461,-40,-46,-8,295.4978354978355
464,-11,-62,-34,295.0838709677419
467,15,-56,32,294.70299145299145
470,-3,-81,65,294.31847133757964
473,0,-79,54,294.03586497890296
476,1,-42,-1,293.72327044025155
