0,-18,-161,27
3,-23,-163,37
6,-22,-161,26
9,-12,-149,20
12,-1,-150,10
15,-5,-159,69
18,-14,-151,19
21,-11,-150,24
24,-19,-159,26
27,-19,-154,25
30,-1752,2115,-131
34,-852,2721,62
37,-134,-2775,-145
40,1483,-2175,431
43,-124,-7873,6140
47,4176,-7873,881
49,6519,928,-3316
53,-2756,7685,-6427
56,-2651,5969,-5368
59,-863,-371,221
62,-2577,2245,-322
66,1035,-1348,2902
69,1996,-4657,3823
72,2495,-2111,1527
74,740,1202,145
77,-69,4306,-1261
80,1502,1078,-887
83,320,-2325,-738
86,-298,-6739,2358
89,-668,-4981,3157
92,-291,-2941,1602
95,350,-2276,1125
98,396,-1490,733
101,567,-1033,2021
104,769,-405,1882
107,1005,-769,1635
110,32,-855,562
113,255,-262,-256
116,243,230,-988
119,-117,-19,-857
122,-501,457,1201
125,-413,1213,1420
128,-323,1491,1485
131,-591,1313,-843
134,-488,395,-3074
137,-118,562,-4704
140,359,-910,-2590
143,178,-1101,-798
146,-25,-119,795
149,398,-135,990
152,496,-282,1067
155,25,-1021,1044
158,-152,-1019,497
161,-221,-1209,-170
164,363,-333,-928
167,690,233,-865
169,819,-584,19
173,396,-600,378
176,-106,312,738
179,-531,770,692
182,-448,1178,754
186,-514,1257,782
188,-344,1137,706
191,277,-983,809
194,406,-1221,491
197,213,-858,-146
200,-64,-354,-2158
203,-15,-76,-2129
206,-6,-142,-621
209,-20,-33,-247
212,5,-1332,-40
216,-54,-1325,-91
219,-210,-584,389
222,-99,-482,481
225,-80,560,402
228,-31,1098,492
231,101,897,640
233,214,750,718
236,-165,-165,847
239,-229,-7,786
242,-162,-524,690
246,-148,-665,515
249,-76,-727,-38
252,461,-1010,-1128
255,629,-858,-1323
257,107,-102,-701
260,-1,-125,-251
264,-16,-199,-46
267,-156,-159,112
270,-142,-2,125
273,15,375,145
275,-77,583,146
278,-218,557,125
281,-368,-87,188
284,-227,-461,220
287,-49,-510,389
291,112,-348,434
293,122,-38,375
297,-64,-109,80
300,-145,-849,-73
303,-113,-1063,-109
306,-5,-945,-240
309,220,-287,-514
312,332,-157,-431
315,331,414,-116
318,-4,661,43
321,-156,363,220
324,-287,291,391
327,-245,170,324
330,-124,-59,13
333,76,-188,-52
336,35,-648,-108
340,-112,-644,-1
343,-44,-357,138
346,213,-104,139
349,250,-20,118
352,161,-200,97
354,22,-325,83
357,-116,-406,53
360,-122,-531,-64
363,-5,-430,-82
366,67,84,-39
369,0,248,-31
372,-110,289,-34
375,-340,-4,39
378,-296,-109,4
381,-147,-104,-31
384,157,-165,-70
387,213,-172,-39
390,209,-142,76
393,146,-274,124
396,100,-445,143
399,19,-417,93
402,-18,-270,61
404,-36,-184,107
407,-115,-43,144
410,-192,-65,76
413,-231,-48,-76
416,-84,-71,-53
420,-28,-111,-17
423,16,-146,-33
426,82,-188,-24
429,134,-420,70
431,197,-459,83
434,190,-322,2
437,46,-2,-129
440,-47,109,-53
443,-181,125,63
446,-254,-117,154
449,-170,-176,99
452,-91,-286,49
455,2,-308,-7
458,-2,-76,-46
461,51,-48,-21
464,99,-65,26
467,175,-188,133
470,140,-289,146
473,73,-311,108
476,-72,-336,47
479,-128,-373,36
482,-124,-279,31
485,-41,-168,5
488,-9,26,-33
491,-14,80,-43
494,-72,116,-39
497,-99,3,-55
500,-59,-121,-40
503,-24,-271,64
506,19,-239,110
509,51,-195,159
512,91,-228,96
515,107,-241,27
518,100,-202,-32
521,45,-302,-96
524,9,-339,-57
527,-33,-210,17
530,-77,-118,149
533,-82,52,160
536,-141,54,114
539,-151,-9,49
542,-75,-167,-52
545,-18,-255,-76
548,46,-409,-61
551,159,-343,31
554,174,-283,53
557,150,-169,32
560,31,-64,19
563,-28,44,11
567,-71,70,-42
569,-89,-3,-39
572,-115,-178,10
575,-108,-278,29
578,-74,-378,104
581,-48,-345,113
584,7,-244,94
587,87,-96,27
590,105,-89,13
593,113,-85,30
596,40,-185,60
599,-7,-206,49
602,-43,-212,13
605,-36,-199,5
608,-23,-194,-4
611,-34,-91,6
614,-61,-119,11
617,-89,-142,16
620,-76,-134,10
623,-41,-133,-10
626,3,-138,-10
629,13,-147,11
632,26,-204,37
