0,-11,-48,-2
3,-10,-50,-3
6,-10,-53,-4
9,-10,-54,-6
12,-12,-54,-6
15,-13,-50,-1
18,-13,-52,-4
21,-11,87,-2
24,-254,548,95
27,-109,432,131
31,-761,-89,168
34,-811,-1678,171
37,-1058,-1803,1446
40,-201,-3646,1665
43,694,-1562,637
46,1514,-1703,-448
49,1435,726,-2739
52,350,2252,-2177
55,-242,2904,-1623
58,-815,2824,-917
61,-205,3391,661
64,23,545,615
67,356,-1540,353
70,393,-1460,353
73,-85,-741,-792
76,-197,-554,-971
79,0,-1664,-364
82,-52,-1975,615
85,208,-250,1146
88,325,106,944
91,102,-207,966
93,-85,225,778
96,97,962,1181
99,184,101,1262
102,195,-420,884
105,-266,172,533
108,-469,460,313
110,-323,298,-57
113,-343,694,-577
116,-446,1034,-927
119,-314,-450,-1430
123,133,-1015,-1557
126,42,-1052,-1309
129,-45,-480,-230
132,187,-249,-55
135,411,-246,164
137,413,172,-248
140,261,110,-392
143,-57,-555,20
146,-257,-665,101
149,-328,-25,270
153,-187,190,569
156,-201,586,789
159,-110,500,698
162,-75,716,584
165,-256,183,250
168,-95,87,69
171,116,273,-83
174,212,369,-357
177,276,288,-332
180,249,-725,-289
183,113,-1032,-275
186,16,-777,-363
189,79,-774,-373
192,244,-465,-360
195,-8,178,-243
198,-241,175,-40
201,-375,-163,153
204,-326,-22,254
207,-337,181,321
210,-97,191,253
212,-7,97,313
215,12,316,345
218,22,401,169
221,24,260,44
224,90,14,-47
227,156,-104,95
230,200,-216,79
232,212,-507,-6
235,-4,-408,-205
239,-3,-228,-414
242,122,-263,-601
245,84,-301,-611
248,42,-18,-531
251,-77,155,-46
254,-108,8,252
258,-184,102,333
261,-211,-189,457
264,-77,-21,518
267,-165,80,543
270,-183,341,390
272,-51,334,197
275,21,72,33
278,-5,29,-156
281,32,4,-198
284,190,-104,-192
287,322,143,-300
290,159,63,-364
293,43,-427,-399
296,135,-588,-344
299,60,-646,-205
302,-66,-315,-15
305,-21,-164,12
308,-17,63,10
311,-259,165,67
314,-309,127,154
317,-179,115,273
320,-106,103,268
323,-71,225,211
326,-1,197,139
329,45,54,179
332,66,-26,359
335,118,-93,288
337,190,-68,135
340,149,9,-270
343,48,-37,-438
346,-10,-174,-446
349,48,-389,-439
352,33,-489,-386
355,-88,-200,-219
358,-86,-142,-94
361,-18,-42,29
364,-20,36,80
367,-39,94,138
370,-76,-35,238
373,-162,-14,285
376,-234,31,280
379,-80,109,326
382,4,154,347
384,-1,123,299
387,-35,42,72
390,-1,21,-23
394,78,-77,-210
397,170,30,-264
400,279,-118,-277
403,197,-201,-263
406,58,-237,-231
409,-41,-280,-171
412,5,-339,-137
415,-73,-239,-53
418,-126,-58,-34
421,-150,36,-13
424,-199,32,-10
427,-197,33,-25
430,-106,76,147
433,-21,69,274
436,34,64,364
438,-24,133,349
441,39,73,283
444,74,-39,199
447,115,-97,-1
450,116,-88,-101
453,110,-52,-178
456,51,15,-215
459,-2,-7,-236
462,-37,-262,-269
465,-28,-336,-243
468,-55,-317,-208
471,-104,-96,-142
474,-67,-40,-102
477,-12,-43,4
480,-26,-16,56
483,-26,4,119
486,-37,-41,290
489,-73,-32,305
492,-80,103,187
495,-29,115,104
498,-18,3,49
501,-33,-57,-9
504,-14,-66,1
507,91,-42,18
510,109,14,-20
513,98,-105,-148
516,125,-162,-163
519,88,-145,-148
522,-63,-137,-129
525,-82,-173,-164
528,-72,-132,-188
531,-91,-76,-158
534,-100,-140,-82
537,-112,-112,91
540,-107,-68,146
543,-39,38,189
546,24,134,172
549,62,167,122
552,13,-13,58
555,5,-126,79
558,31,-159,112
560,73,16,90
563,70,55,56
566,64,14,29
569,-23,-49,-59
572,-43,-58,-144
575,-59,-97,-234
578,-50,-214,-277
581,-72,-218,-231
584,-52,-87,-69
587,-14,-62,-2
590,5,-103,104
593,-8,-61,84
596,-4,74,84
600,14,66,50
603,-10,40,40
606,-33,-83,57
609,-27,-123,59
612,-18,-31,67
615,-30,-5,77
618,-25,-20,75
621,21,-21,56
623,27,1,35
626,29,-12,-2
629,25,-70,-141
632,14,-89,-201
