0,1,2,-41
3,-2,3,-35
6,-1,5,-14
9,2,5,-17
12,5,6,47
16,6,13,4
18,8,20,3
21,-420,132,43
24,-359,27,-724
27,76,-76,-92
30,843,-247,-637
33,970,-879,-2025
36,1578,2266,-3283
39,1349,2798,-1235
42,-251,1001,-542
45,-621,-1073,2066
48,-564,-2673,2201
51,-947,-3187,2795
54,-1340,-849,3358
57,-1483,-88,3242
60,-673,1306,1867
63,-227,657,652
66,267,183,-155
69,469,58,-670
72,568,-492,-1217
75,563,-427,-2122
78,496,135,-1101
81,353,655,-470
85,280,930,-692
88,130,558,-994
91,196,555,-810
94,332,801,-694
97,-68,1018,-418
100,-315,776,-59
103,-338,0,1245
106,-314,-635,661
109,-157,-1282,379
112,-447,-1917,854
115,-655,-1892,550
118,-562,-1166,-301
121,-57,-703,-998
124,313,-240,-608
127,348,267,74
130,410,405,-736
133,403,621,-903
136,391,591,-421
138,480,733,-247
141,448,862,-247
145,26,958,-151
148,-113,659,261
151,25,63,-87
154,-52,178,175
156,-284,55,898
160,-609,-123,530
163,-541,-147,236
166,-136,-116,221
169,37,-323,477
173,151,-464,144
176,91,-531,-296
179,88,-419,-532
182,241,127,-448
186,340,262,-210
189,252,424,-267
192,-43,512,-525
195,-97,622,-620
198,-123,409,-20
201,4,97,208
203,60,-160,511
206,-96,-619,680
209,-189,-657,542
212,-243,-676,229
215,-246,-554,-151
218,-106,-470,-294
221,123,-125,-126
224,112,122,-245
227,104,248,-372
230,185,473,-234
233,228,525,-229
236,285,461,-151
239,222,353,35
242,28,343,82
244,-143,279,195
247,-215,48,75
250,-153,-41,32
253,-68,-84,377
256,-95,-67,347
259,-173,18,216
262,-256,23,-344
265,-244,-49,-414
268,17,-203,-310
271,384,-426,137
274,380,-462,227
277,291,-431,-133
280,42,-272,-329
283,28,-54,-270
286,71,241,-364
289,64,302,-344
292,-15,301,-92
295,-314,239,-57
298,-358,304,92
301,-270,322,321
304,72,197,295
307,112,78,263
310,77,-89,207
313,20,-178,189
316,0,-260,-244
319,98,-314,-357
322,90,-152,-256
325,-8,4,-120
328,-34,202,-11
331,-27,284,-198
334,52,94,-197
337,97,-79,-22
340,24,-233,280
343,-33,-248,366
346,-52,-75,92
349,-7,65,-78
352,-5,219,-213
355,-37,325,-283
358,-5,332,-188
361,14,284,27
364,-31,180,2
367,-73,-34,-75
370,-62,-417,3
373,8,-496,102
376,69,-326,158
379,79,-205,107
382,86,-120,64
385,82,118,47
388,61,204,10
391,40,231,-73
394,18,206,-376
396,-86,135,-396
399,-112,75,-228
402,-22,100,201
405,1,107,253
408,14,89,196
411,2,-8,25
414,7,-73,1
417,11,-126,-18
420,18,-131,-127
423,36,-79,-127
426,-11,100,-119
429,-57,154,-44
432,-114,103,47
435,11,-42,111
438,90,-96,136
441,109,-155,-6
444,-28,-180,-52
447,-79,-155,-139
450,-43,-64,-97
453,39,22,-120
456,135,197,-207
459,115,286,-107
462,8,287,38
466,-57,172,46
468,-2,71,21
471,2,-112,134
474,-72,-166,210
477,-131,-168,113
481,-154,-73,12
484,-84,-18,-191
487,121,4,-196
490,164,37,-114
493,100,111,31
496,63,76,-5
499,47,6,-89
501,29,-95,-110
505,13,-106,-25
508,-3,-141,97
511,-70,-159,82
514,-99,-146,30
517,-66,45,-98
520,-37,173,-158
523,-7,239,-133
526,26,227,-75
528,47,183,-14
531,44,52,96
534,8,7,132
537,2,-9,137
540,88,-72,88
543,41,-97,51
546,15,-109,40
549,-69,-125,-36
552,-95,-141,-144
555,-85,-79,-257
558,38,-22,-204
561,82,39,-115
564,47,136,47
567,40,144,47
570,62,124,-1
572,58,14,-33
575,18,-40,11
578,-28,-63,83
581,-120,-57,151
584,-136,-28,63
587,-116,66,-179
590,-27,47,-210
593,10,81,-176
596,56,174,34
599,73,154,69
602,82,80,56
605,97,-77,84
608,92,-152,98
610,63,-210,107
613,-43,-212,40
616,-86,-139,-78
619,-98,24,-297
622,-34,122,-306
625,-2,155,-236
628,-2,75,16
631,1,11,52
