0,16,386,46
3,72,425,-8
6,159,276,-203
9,102,109,-111
12,107,109,118
14,-147,-36,-45
18,-282,-417,34
21,-438,-587,44
24,-422,-533,-190
27,-252,-330,-365
30,17,20,-758
33,241,448,-544
36,418,967,168
38,290,830,379
41,78,636,611
44,-17,-34,413
47,59,-390,53
50,93,-483,-185
53,-146,-395,-317
56,-175,-369,-299
59,20,-186,-205
62,109,-74,-228
65,204,702,-90
68,455,683,93
71,420,372,229
74,-114,229,431
77,-347,-86,384
80,-372,-514,31
83,-129,-452,-52
86,-94,-241,-209
89,-51,49,-425
92,20,57,-309
95,43,93,-53
98,32,215,29
100,67,229,131
103,161,-37,228
106,134,-44,247
109,67,21,236
112,-53,-143,-16
115,-70,-197,-142
118,-100,-13,-215
121,-95,92,-196
124,-22,68,-155
127,106,37,-14
130,133,129,115
134,107,142,168
136,97,-57,177
140,55,-81,133
143,45,24,88
146,43,-15,-45
149,29,-30,-111
152,-56,-10,-157
155,-51,23,-123
158,-49,-24,-80
161,-23,-40,16
164,-9,-15,47
167,55,61,83
169,83,64,77
172,101,65,66
175,75,36,46
178,56,17,25
181,43,3,7
183,-18,3,-27
186,-33,2,-41
189,-32,11,-43
192,0,19,2
195,14,30,15
198,15,8,34
201,32,2,28
204,48,9,15
207,61,42,-17
210,63,47,-42
213,44,34,-70
216,13,23,-58
219,-15,15,-36
222,-12,-11,20
225,9,30,116
229,47,42,68
231,61,40,48
234,43,32,-15
237,15,29,-40
240,-6,34,-50
243,-26,2,-33
246,-6,-20,9
249,45,-12,27
252,60,-8,34
255,31,-3,28
258,16,7,10
261,7,29,-6
264,30,42,-37
267,37,29,-35
269,34,34,-24
273,-4,41,-5
276,-16,16,69
279,-3,-15,14
282,12,-19,7
285,62,-11,7
288,74,-2,2
291,34,18,3
294,20,30,-1
297,10,35,2
299,18,30,-1
302,12,26,4
305,-2,29,7
308,-8,55,22
311,-2,63,21
314,13,56,2
317,53,14,-36
320,63,12,-44
323,48,27,-29
326,30,11,-12
329,12,-30,23
332,11,-35,31
334,14,-34,31
337,25,-8,4
340,21,26,-12
343,25,71,-22
346,6,82,-18
349,1,52,-15
352,6,6,-4
354,22,-11,19
357,23,3,31
360,19,14,33
363,6,16,24
366,9,19,15
368,23,20,6
371,63,-13,-12
374,69,-6,-20
377,55,57,-15
380,0,62,-5
383,-15,33,-4
386,-15,-37,-13
389,0,-36,-12
392,10,4,-17
395,23,25,-16
398,20,50,-12
401,41,84,-8
404,62,70,-2
406,73,44,6
409,54,30,38
412,37,33,48
415,12,24,55
418,-10,-13,37
421,-11,-25,14
424,-5,-18,-12
427,12,6,-57
430,18,41,-63
432,16,87,-49
435,17,69,-28
438,22,25,-16
442,39,-52,14
445,37,-61,22
448,37,-23,16
451,30,28,7
454,16,34,-9
457,7,34,-7
460,11,52,11
463,12,65,20
466,15,76,28
469,19,50,27
472,20,22,23
475,19,-37,10
478,17,-52,-2
481,23,-32,-21
484,25,5,-49
486,21,42,-51
489,34,58,-34
492,37,54,-12
495,44,50,7
498,30,34,42
501,16,23,44
503,7,13,34
506,-1,3,-6
509,1,0,-24
512,10,-1,-38
516,21,18,-36
518,24,55,-23
522,39,57,12
525,51,45,26
527,55,10,39
530,43,0,36
533,23,-5,27
536,-7,-20,-4
539,-11,-18,-18
542,-4,1,-38
545,3,17,-32
548,17,29,-21
551,31,53,7
554,31,54,23
556,33,35,28
560,31,16,9
563,30,-6,-6
566,25,-32,-29
569,25,-26,-30
572,7,4,-12
575,-2,17,-2
578,-1,29,7
581,27,34,19
584,43,49,21
587,48,55,22
590,33,65,14
593,5,62,5
596,2,46,-2
598,4,21,-9
601,22,-16,-17
604,33,-17,-16
607,36,-5,-12
610,30,2,0
613,30,9,5
616,30,6,-3
619,31,11,-13
622,19,9,-18
624,-13,14,-20
627,-20,21,-14
630,-20,14,-6
633,8,18,8
