0,3,-28,6
3,3,-37,8
6,-7,-34,18
9,-14,-12,14
13,-9,2,-4
16,-3,25,-13
19,-2,32,-8
22,-4,27,2
26,-24,18,16
29,-33,5,12
31,-675,1116,-18
34,-1506,565,-93
37,-1350,-478,-117
40,-221,-1740,-551
44,18,-1158,-327
47,-140,-296,7707
50,2037,-567,5989
52,1489,8125,-4967
55,-25,4441,-6780
58,-978,2737,-6991
61,-802,1083,-2077
64,1166,1878,21
67,891,272,1260
70,-385,670,2415
73,-428,1122,1667
76,-850,-422,2375
79,-409,-547,-232
82,-460,-3830,-1344
85,-304,-4301,-722
88,925,-2292,-876
91,1188,-1374,884
94,1071,-1166,1279
97,1188,-835,1368
101,735,-298,1033
103,237,-730,859
106,-215,-1081,433
109,224,-756,462
112,230,302,633
116,355,489,591
118,76,-324,517
121,-224,1156,370
124,-707,1493,242
127,-827,1481,-125
130,-604,1111,-1473
133,-389,318,-1851
136,90,1115,-1913
139,-44,714,-1639
142,-197,821,-1124
145,-430,1563,204
148,-513,556,609
151,-347,-523,999
154,190,-1079,1352
156,169,-1204,1315
159,10,-85,687
163,39,-164,427
166,21,314,-122
169,342,611,-373
172,391,147,-474
175,150,229,-602
178,-221,-491,-376
181,-123,-159,-670
184,34,-198,-402
187,-63,-390,153
190,129,-70,130
193,335,-470,136
195,466,-253,193
198,-168,684,129
201,-293,860,360
204,-429,949,475
208,-321,255,326
210,-157,-395,65
214,307,-1110,-109
217,269,-754,-295
220,52,56,-676
222,-114,-201,-350
225,-213,-144,-39
229,-54,355,172
231,80,-82,141
234,-127,-10,-352
237,-247,-176,-478
240,-178,299,-504
243,92,555,-167
246,132,534,107
249,82,592,406
252,6,328,813
255,-65,-136,889
258,25,-577,625
261,-43,-542,412
264,-95,-324,252
267,165,-248,-321
270,321,-168,-580
273,162,-112,-861
276,39,179,-815
279,-8,219,-639
282,-263,50,-262
285,-298,215,-101
288,-267,385,272
291,-52,353,409
294,15,117,443
297,-43,10,267
300,-2,-162,110
303,131,-378,122
306,103,-49,135
309,85,385,83
312,-70,180,-94
315,-85,-139,-71
318,-25,-528,134
321,69,-416,170
324,160,-135,15
327,63,-116,-163
330,4,-110,-299
333,-72,-2,-231
336,-50,381,-86
339,-5,670,-9
342,-79,553,-32
345,-143,350,-99
348,-112,-174,-172
351,-89,-336,-129
354,-82,-370,17
357,-8,-326,82
360,89,-81,148
363,96,35,277
366,133,-10,355
369,168,-143,423
372,20,-10,241
374,-28,0,87
377,-10,49,-26
380,-5,63,-347
383,-18,-21,-442
386,-66,-9,-312
390,-77,33,-167
393,-74,130,66
396,-70,183,123
399,-42,146,167
402,-37,21,82
405,-43,-54,54
408,-16,-168,-25
411,-12,-188,-106
414,50,-112,-156
417,127,3,-105
420,171,123,-33
423,17,21,132
426,-81,-77,253
429,-107,64,310
432,-48,55,214
435,-57,31,141
437,-96,-130,47
441,-100,-191,-257
444,-20,-179,-305
447,144,-42,-160
450,190,186,-3
453,177,365,115
456,84,220,72
458,-30,78,8
461,-205,-57,-123
464,-233,-132,-158
467,-209,-278,-150
470,-143,-201,-38
474,-99,-84,89
477,71,51,297
479,143,111,305
482,212,114,240
485,221,114,-20
488,156,132,-142
491,53,81,-184
494,-161,-166,-131
497,-175,-185,-86
500,-79,-194,28
503,-63,-142,79
506,-34,-41,112
509,-2,139,98
511,2,236,38
514,9,203,-46
517,39,-25,-210
520,29,-37,-215
523,-3,81,-20
527,-12,124,19
530,1,-77,121
533,5,-156,74
536,-39,-145,58
539,-30,-179,60
542,21,57,70
546,26,174,58
548,-39,130,47
551,-73,-138,-5
554,-54,-134,-28
557,-29,22,-19
560,59,105,31
563,104,132,60
566,106,8,48
569,49,-35,-47
572,45,-24,-121
575,-75,33,-190
578,-147,99,-170
581,-160,-24,-27
584,-94,-87,39
587,-118,-118,97
590,-60,-58,176
593,37,-10,148
596,128,65,43
599,206,57,-34
602,175,51,-107
606,14,20,-118
609,-60,-14,-73
612,-95,-125,67
615,-85,-112,120
618,-110,-75,166
621,-94,-35,136
624,-53,104,76
626,9,116,-126
629,22,70,-180
632,31,-45,-198
