0,30,-31,-2
3,28,-32,-4
6,27,-31,-1
9,27,-32,-3
12,29,-30,-4
16,29,-31,-6
19,27,-29,-9
22,25,-27,-3
25,31,-26,-3
28,-43,-146,22
31,342,-830,23
33,1529,-1029,-402
37,776,-754,66
39,561,-1243,640
42,3472,-1443,956
45,7354,-3500,763
48,5188,-7644,-1505
51,1807,-4945,-3045
54,1497,389,-3692
57,-371,3569,-3471
60,-2356,7853,-2096
63,-2943,7964,2494
66,-4420,7079,3896
69,-4225,3990,4297
71,-1663,-853,2477
75,-124,-2737,1821
77,1056,488,380
81,1590,1385,-1550
84,1566,-857,-1367
87,691,-1285,265
90,278,-2619,875
92,-740,-2907,1115
96,-462,-2077,94
98,-77,-2217,-991
102,699,-1125,-891
105,674,724,-583
107,-96,-1112,235
111,-500,-2063,759
114,-652,-669,852
116,-531,-376,839
119,-319,-387,817
122,252,-406,336
125,202,114,535
128,-243,1323,1229
132,-848,1303,1278
134,-984,1268,824
138,-1562,1905,-1534
141,-1400,1963,-3114
144,-936,1271,-3705
147,-921,647,-3160
150,-918,170,21
153,-615,-16,647
156,-265,-641,682
159,151,-614,348
161,299,-270,306
164,529,-588,416
167,535,-939,439
170,590,-1139,465
173,301,-1105,176
176,126,-1160,90
179,3,-691,-41
182,0,-251,-69
185,47,191,86
188,251,385,283
191,208,396,326
193,110,660,260
196,-204,827,-51
199,-259,569,-215
202,100,165,-278
205,347,249,-149
208,514,199,-62
211,370,-509,-68
214,177,-673,-145
217,41,-416,-103
220,-126,-250,-66
223,-198,-144,-107
226,-52,-3,2
229,52,165,97
232,49,222,61
235,-110,144,-1
238,-174,137,-82
241,-193,157,-108
244,-58,78,-73
247,139,-227,32
250,216,-330,67
253,287,-77,94
256,242,43,49
259,180,3,-36
262,193,-171,-147
265,193,-147,-76
269,53,-6,84
272,-55,-87,112
275,-191,-151,149
278,-213,83,92
281,-227,159,51
284,-176,83,-2
287,-12,46,-83
290,19,111,-86
293,16,-165,-106
296,89,-365,-182
299,173,-193,-109
302,316,-20,-20
305,345,54,53
308,191,-26,100
311,62,74,77
314,-41,205,41
316,-63,226,-11
320,-32,199,8
322,-8,192,44
325,31,55,43
328,48,-181,28
331,-134,-464,-8
334,-171,-394,-30
337,-92,-212,-53
341,84,-149,-149
344,132,-96,-119
347,130,-54,-93
350,54,141,-48
352,-73,144,64
355,-55,130,98
358,-6,50,107
361,69,-1,98
364,84,-26,80
367,26,80,63
370,0,161,72
373,24,171,69
375,130,-74,36
378,145,-223,-4
381,136,-418,-67
384,103,-428,-184
387,56,-324,-210
390,-54,-146,-164
393,-66,-87,-89
396,19,117,67
400,28,276,111
402,24,505,113
406,-31,467,84
409,-51,359,78
411,-47,126,98
414,6,-37,69
417,96,-317,-52
420,208,-387,-97
423,177,-402,-132
426,52,-370,-169
429,11,-387,-148
432,0,-327,-79
435,58,-184,-26
438,89,-13,33
441,47,266,108
444,-16,349,141
447,-68,343,171
450,-58,226,128
453,-15,48,68
456,65,15,-37
459,57,7,-70
463,-17,-40,-50
466,-41,-305,-115
469,-16,-406,-88
472,44,-453,-80
475,201,-364,-32
478,229,-246,-15
481,97,54,7
484,1,135,6
486,-61,146,1
489,-64,122,-5
492,-8,168,-7
495,40,353,62
499,34,396,37
501,7,347,58
504,-5,58,89
507,30,-115,76
510,91,-391,42
513,163,-383,-43
516,141,-279,-150
519,49,-249,-140
522,-6,-258,-142
525,-53,-260,-79
529,-26,-232,-34
532,6,-10,41
535,12,159,81
537,11,448,101
541,-3,427,74
544,-4,350,47
546,5,62,15
549,34,-84,16
552,64,-180,22
556,69,-203,11
558,52,-192,-5
562,55,-196,-62
564,61,-231,-82
567,57,-266,-88
571,69,-240,-64
574,70,-79,-3
576,43,44,20
579,37,147,33
582,39,238,27
585,32,227,24
588,17,186,20
591,-12,76,14
594,-21,58,18
597,-19,88,26
600,-1,52,23
603,28,-28,10
606,68,-217,-38
609,76,-276,-65
612,79,-294,-95
615,83,-250,-87
618,70,-109,-60
621,30,-65,-16
624,17,-23,66
627,2,1,27
630,6,129,32
634,38,185,41
