0,4,-101,8
3,3,-94,11
6,0,-92,9
9,-12,-94,8
12,-18,-94,9
15,-26,-103,16
18,-23,-108,16
21,-22,-120,15
24,-18,-126,10
27,146,729,-50
30,-149,1491,51
33,17,2237,-86
36,1096,2205,-333
39,1010,2634,-533
42,1492,-1439,-588
45,900,-2171,210
47,-867,-2401,1064
50,-3249,-6539,2265
53,-3275,-6469,992
56,-828,2197,-813
59,-353,3877,-1987
62,-303,-1049,-1338
65,-400,-3101,299
68,-432,-896,-477
72,-715,993,-338
74,-210,1276,545
77,584,1812,1179
80,1454,3077,1590
83,1662,2225,1838
86,1354,-106,1772
89,619,-1741,240
92,-181,315,-594
95,-784,2191,-2055
98,-321,2535,-1979
101,319,946,-1075
103,1073,-802,247
106,677,-829,451
109,528,-427,204
113,-385,-119,-78
116,-579,404,335
119,-231,-173,191
122,118,-1081,-26
125,210,-1542,-20
128,-161,-818,115
131,-832,-135,-65
134,-664,-11,-323
137,-419,864,-264
140,-37,563,43
143,104,488,450
145,313,-513,421
148,462,-185,-167
151,274,338,-531
155,-154,-6,-297
158,-107,-506,496
161,269,-611,588
164,287,-381,478
167,383,-117,-159
170,205,254,-425
173,-117,4,-101
176,-1108,-129,-39
179,-1091,-731,-94
182,-186,-392,17
185,120,-121,99
188,443,-55,114
191,475,13,-53
194,422,73,-76
197,202,-22,10
200,295,323,23
203,125,436,-24
206,31,310,-109
209,-227,-281,-15
212,-129,-674,84
215,184,-545,-23
218,117,-6,-84
221,158,39,-2
224,-34,188,55
227,-4,-578,114
230,-344,-391,171
233,-439,-369,76
236,-618,-128,44
239,-320,-116,-16
242,-62,-16,-86
245,20,-188,31
248,-12,-105,181
252,94,-16,-50
255,104,533,-221
258,80,509,-58
261,200,195,100
263,368,-282,36
266,437,-430,-85
269,364,-288,-243
272,197,-439,-152
275,-44,-151,57
278,-83,-154,337
281,-125,-331,416
284,-106,-573,51
287,-247,-233,-61
290,-252,175,-105
293,-189,320,17
296,-182,92,43
299,-279,144,-76
302,-361,10,-97
305,-260,-116,-68
308,49,-402,74
311,200,-471,146
314,285,-261,120
317,295,-76,58
320,251,127,-232
324,64,108,-234
327,-43,80,156
330,-7,-3,198
333,122,-201,54
336,153,-358,-76
339,83,-370,-85
342,-74,-76,-55
345,-71,-363,-21
348,-100,-294,-24
351,-46,-81,-10
354,-131,102,72
357,-183,96,57
360,-247,94,85
363,-259,-122,219
366,-213,-166,176
369,-170,-345,-159
372,48,-270,-246
375,93,-125,-173
378,89,-79,72
381,125,-117,122
384,208,69,-1
387,125,144,-153
389,78,105,-160
392,112,-30,11
395,111,-190,38
398,43,-198,10
401,18,-173,-30
404,0,-138,40
407,-43,-392,117
410,-72,-538,129
413,-92,-264,126
416,-130,-24,44
419,-154,42,-75
422,-175,249,-130
425,-176,185,35
428,-196,-160,150
431,-187,-157,21
434,-70,-132,-2
437,145,-166,1
440,83,-127,22
443,35,-185,-27
446,110,-210,-71
449,95,-165,-102
452,56,-25,-51
455,125,13,16
457,173,46,120
461,144,-137,80
464,57,-272,-14
467,-9,-177,-103
470,-83,-272,48
473,-105,-202,65
476,-113,-68,31
479,-137,-47,-9
482,-166,-60,28
485,-146,7,115
488,-84,-52,119
491,-75,-190,77
494,-121,-239,-19
497,-57,-229,-18
500,-1,-178,-51
503,-29,-103,-15
506,80,-32,39
509,136,5,29
512,100,36,18
515,22,-39,-60
518,51,-16,-89
521,82,-81,-6
524,73,-83,11
527,68,-139,16
529,85,-169,15
532,40,-187,3
535,18,-464,16
538,-27,-299,39
541,-36,-127,49
544,-156,-101,49
547,-196,-42,30
550,-163,57,22
553,-112,-7,21
556,-157,18,33
559,-103,-96,27
562,-61,-117,3
565,-51,-93,-6
568,-48,-145,-2
571,12,-211,-4
574,83,-238,17
577,87,-272,7
580,165,-55,-80
583,160,78,-88
586,152,70,-48
589,80,-62,96
591,61,-28,108
594,58,-101,-19
598,-27,-185,-81
601,-89,-167,-5
604,-114,-194,63
607,-107,-244,110
610,-60,-133,-22
613,-19,-48,-70
616,-64,-61,39
619,-134,-104,109
622,-111,-112,87
625,-67,-68,9
628,-43,-53,-35
631,-30,-179,8
